code,name_zh,name_en,alpha
522600,,Southeast Guizhou,QND
522700,,South Guizhou,QNZ
530000,,Yunnan,YN
530100,,,KMG
530300,,Qujing,QJS
530400,,Yuxi,YXS
530500,,Baoshan,BOS
530600,,Zhaotong,ZTS
530700,,Lijiang,LJH
530800,,Pu'er,PRS
530900,,Lincang,LIH
532300,,,CXD
532500,,,HHZ
532600,,,WSZ
532800,,,XSB
532900,,,DLZ
533100,,,DHG
533300,,Nujiang,NUJ
533400,,Diqing,DEZ
540000,,Tibet,XZ
540100,,,LXA
542100,,Qamdu,QAD
542200,,Lhokha
542200,,,SND
542300,,,XID
542400,,Nagqu,NAD
542500,,Ngari,NGD
542600,,,NYD
610000,,Shaanxi,SN
610100,,,SIA
610200,,,TCN
610300,,,BJI
610400,,,XYS
610500,,,WNA
610600,,Yan'an,YNA
610700,,Hanzhong,HZJ
610800,,Yulin,YLN
610900,,Ankang,ANK
611000,,Shangluo,SLH
620000,,Gansu,GS
620100,,,LHW
620200,,,JYG
620300,,,JCS
620400,,,BYS
620500,,,TSU
620600,,Wuwei,WWS
620700,,Zhangye,ZYE
620800,,Pingliang,PLS
620900,,Jiuquan,JQG
621000,,Qingyang,QYI
621100,,Dingxi,DNX
621200,,Longnan,LGN,
622900,,,LXH
623000,,,GNZ
630000,,Qinghai,QH
630100,,Xining,XNN
632200,,,HBZ
632300,,,HNZ
632500,,,HNN
632600,,,GOL
632700,,,YSZ
632800,,Haixi,HXZ
640000,,Ningxia,NX
640100,,,INC
640200,,,SZS
640300,,Wuzhong,WZS
640400,,Guyuan,GYN
640500,,Zhongwei,ZWS
650000,,Xinjiang,XJ
650100,,,URC
650200,,,KAR
652200,,,HMD
653100,,Kashi
653100,,,KSI
659000,自治区直辖县级行政区划,Autonomous region directly under the county administrative divisions
710000,,Taiwan
810000,,Hong Kong
820000,,Macau
