"C-gbcode","C-source","N-pinyin","N-local","N-hanzi","H","A","change","P","fromdate","todate","NOTES"
210202,"CT","Dalian: Zhongshan qu","Dalian: Zhongshan qu","大連﹕中山區",3,2,,0,19820101,19831231,"Did not officially exist"
210202,"GB","Dalian: Zhongshan qu","Dalian: Zhongshan qu","大連﹕中山區",3,2,,0,19840101,19941231,
210203,"CT","Dalian: Xigang qu","Dalian: Xigang qu","大連﹕西崗區",3,2,,0,19820101,19831231,"Did not officially exist"
210203,"GB","Dalian: Xigang qu","Dalian: Xigang qu","大連﹕西崗區",3,2,,0,19840101,19941231,
210204,"CT","Dalian: Shahekou qu","Dalian: Shahekou qu","大連﹕沙河口區",3,2,,0,19820101,19831231,"Did not officially exist"
210204,"GB","Dalian: Shahekou qu","Dalian: Shahekou qu","大連﹕沙河口區",3,2,,0,19840101,19941231,
210211,"CT","Dalian: Ganjingzi qu","Dalian: Ganjingzi qu","大連﹕甘井子區",3,2,,0,19820101,19831231,"Did not officially exist"
210211,"GB","Dalian: Ganjingzi qu","Dalian: Ganjingzi qu","大連﹕甘井子區",3,2,,0,19840101,19941231,
210212,"CT","Dalian: Lushunkou qu","Dalian: Lushunkou qu","大連﹕旅順口區",3,2,,0,19820101,19831231,"Did not officially exist"
210212,"GB","Dalian: Lushunkou qu","Dalian: Lushunkou qu","大連﹕旅順口區",3,2,,0,19840101,19941231,
210213,"GB","Dalian: Jinzhou qu","Dalian: Jinzhou qu","大連﹕金州區",3,2,"CA",0,19870421,19941231,
210219,"GB","Wafangdian shi","Wafangdian shi","瓦房店市",9,3,"CHNA",9,19850117,19871231,
210220,"GB","Dalian shiqu","Dalian shiqu","大連市區",3,1,,0,19820101,19831231,
210221,"GB","Jin xian","Jin xian","金縣",3,5,,0,19820101,19870420,
210222,"GB","Xinjin","Xinjin","新金",3,5,,0,19820101,19911129,
210223,"GB","Fu xian","Fu xian","復縣",3,5,,0,19820101,19850116,
210224,"GB","Changhai","Changhai","長海",3,5,,0,19820101,19941231,
210225,"GB","Zhuanghe","Zhuanghe","莊河",3,5,,0,19820101,19920920,
210281,"GB","Wafangdian shi","Wafangdian shi","瓦房店市",9,3,"C",0,19910101,19941231,
210282,"GB","Pulandian shi","Pulandian shi","普蘭店市",9,3,"CNHA",0,19911130,19941231,
210283,"GB","Zhuanghe shi","Zhuanghe shi","莊河市",9,3,"CHA",0,19920921,19941231,
210300,"GB","Anshan shi","Anshan shi","鞍山市",0,0,"T",3,19920123,19941231,
210300,"GB","Anshan shi","Anshan shi","鞍山市",0,0,,3,19820101,19920122,
210301,"GB","Anshan shixiaqu","Anshan shixiaqu","鞍山市轄區",3,1,"C",0,19840101,19941231,
210302,"CT","Anshan: Tiedong qu","Anshan: Tiedong qu","鞍山﹕鐵東區",3,2,,0,19820101,19831231,"Did not officially exist"
210302,"GB","Anshan: Tiedong qu","Anshan: Tiedong qu","鞍山﹕鐵東區",3,2,,0,19840101,19941231,
210303,"CT","Anshan: Tiexi qu","Anshan: Tiexi qu","鞍山﹕鐵西區",3,2,,0,19820101,19831231,"Did not officially exist"
210303,"GB","Anshan: Tiexi qu","Anshan: Tiexi qu","鞍山﹕鐵西區",3,2,,0,19840101,19941231,
210304,"CT","Anshan: Lishan qu","Anshan: Lishan qu","鞍山﹕立山區",3,2,,0,19820101,19831231,"Did not officially exist"
210304,"GB","Anshan: Lishan qu","Anshan: Lishan qu","鞍山﹕立山區",3,2,,0,19840101,19941231,
210311,"CT","Anshan: Jiupu qu","Anshan: Jiupu qu","鞍山﹕舊堡區",3,2,,0,19820101,19831231,"Did not officially exist"
210311,"GB","Anshan: Jiupu qu","Anshan: Jiupu qu","鞍山﹕舊堡區",3,2,,0,19840101,19941231,
210319,"GB","Haicheng shi","Haicheng shi","海城市",9,3,"CHA",9,19850117,19871231,
210320,"GB","Anshan shiqu","Anshan shiqu","鞍山市區",3,1,,0,19820101,19831231,
210321,"GB","Tai`an","Tai`an","台安",3,5,,0,19820101,19941231,
210322,"GB","Haicheng","Haicheng","海城",3,5,,0,19820101,19850116,
210323,"GB","Xiuyan Manzu zizhixian","Xiuyan Manzu zizhixian","岫岩滿族自治縣",3,6,"CH",0,19920123,19941231,
210381,"GB","Haicheng shi","Haicheng shi","海城市",9,3,"C",0,19910101,19921213,
210400,"GB","Fushun shi","Fushun shi","撫順市",0,0,,3,19820101,19941231,
210401,"CT","Fushun shixiaqu","Fushun shixiaqu","撫順市轄區",3,1,"C",0,19820101,19831231,"Did not officially exist"
210401,"GB","Fushun shixiaqu","Fushun shixiaqu","撫順市轄區",3,1,"C",0,19840101,19941231,
210402,"CT","Fushun: Xinfu qu","Fushun: Xinfu qu","撫順﹕新撫區",3,2,,0,19820101,19831231,"Did not officially exist"
210402,"GB","Fushun: Xinfu qu","Fushun: Xinfu qu","撫順﹕新撫區",3,2,,0,19840101,19941231,
210403,"CT","Fushun: Lutian qu","Fushun: Lutian qu","撫順﹕露天區",3,2,,0,19820101,19831231,"Did not officially exist"
210403,"GB","Fushun: Lutian qu","Fushun: Lutian qu","撫順﹕露天區",3,2,,0,19840101,19941231,
210404,"CT","Fushun: Wanghua qu","Fushun: Wanghua qu","撫順﹕望花區",3,2,,0,19820101,19831231,"Did not officially exist"
210404,"GB","Fushun: Wanghua qu","Fushun: Wanghua qu","撫順﹕望花區",3,2,,0,19840101,19941231,
210411,"GB","Fushun: Shuncheng qu","Fushun: Shuncheng qu","撫順﹕順城區",3,2,"N",0,19880316,19941231,
210411,"CT","Fushun: Jiaoqu","Fushun: Jiaoqu","撫順﹕郊區",3,2,,0,19820101,19831231,"Did not officially exist"
210411,"GB","Fushun: Jiaoqu","Fushun: Jiaoqu","撫順﹕郊區",3,2,,0,19840101,19880315,
210420,"GB","Fushun shiqu","Fushun shiqu","撫順市區",3,1,,0,19820101,19831231,
210421,"GB","Fushun","Fushun","撫順",3,5,,0,19820101,19941231,
210422,"GB","Xinbin Manzu zizhixian","Xinbin Manzu zizhixian","新賓滿族自治縣",3,6,"A",0,19850117,19941231,
210422,"GB","Xinbin","Xinbin","新賓",3,5,,0,19820101,19850116,
210423,"GB","Qingyuan","Qingyuan","清原",3,5,,0,19820101,19890906,
210423,"GB","Qingyuan Manzu zizhixian","Qingyuan Manzu zizhixian","清原滿族自治縣",3,6,"A",0,19890907,19941231,
210500,"GB","Benxi shi","Benxi shi","本溪市",0,0,,3,19820101,19941231,
210501,"GB","Benxi shixiaqu","Benxi shixiaqu","本溪市轄區",3,1,"C",0,19840101,19941231,
210502,"CT","Benxi: Pingshan qu","Benxi: Pingshan qu","本溪﹕平山區",3,2,,0,19820101,19831231,"Did not officially exist"
210502,"GB","Benxi: Pingshan qu","Benxi: Pingshan qu","本溪﹕平山區",3,2,,0,19840101,19941231,
210503,"CT","Benxi: Xihu qu","Benxi: Xihu qu","本溪﹕溪湖區",3,2,,0,19820101,19831231,"Did not officially exist"
210503,"GB","Benxi: Xihu qu","Benxi: Xihu qu","本溪﹕溪湖區",3,2,,0,19840101,19941231,
210504,"GB","Benxi: Mingshan qu","Benxi: Mingshan qu","本溪﹕明山區",3,2,"X",0,19850101,19941231,
210505,"GB","Benxi: Nanfen qu","Benxi: Nanfen qu","本溪﹕南芬區",3,2,"N",0,19850101,19871231,
210511,"CT","Benxi: Lixin qu","Benxi: Lixin qu","本溪﹕立新區",3,2,,0,19820101,19831231,"Did not officially exist"
210511,"GB","Benxi: Nanfen qu","Benxi: Nanfen qu","本溪﹕南芬區",3,2,"C",0,19880101,19941231,
210511,"GB","Benxi: Lixin qu","Benxi: Lixin qu","本溪﹕立新區",3,2,,0,19840101,19841231,
210520,"GB","Benxi shiqu","Benxi shiqu","本溪市區",3,1,,0,19820101,19831231,
210521,"GB","Benxi","Benxi","本溪",3,5,,0,19820101,19890906,
210521,"GB","Benxi Manzu zizhixian","Benxi Manzu zizhixian","本溪滿族自治縣",3,6,"A",0,19890907,19941231,
210522,"GB","Huanren","Huanren","桓仁",3,5,,0,19820101,19890906,
210522,"GB","Huanren Manzu zizhixian","Huanren Manzu zizhixian","桓仁滿族自治縣",3,6,"A",0,19890907,19941231,
210600,"GB","Dandong shi","Dandong shi","丹東市",0,0,"T",3,19920123,19941231,
210600,"GB","Dandong shi","Dandong shi","丹東市",0,0,,3,19820101,19920122,
210601,"GB","Dandong shixiaqu","Dandong shixiaqu","丹東市轄區",3,1,"C",0,19840101,19941231,
210602,"CT","Dandong: Yuanbao qu","Dandong: Yuanbao qu","丹東﹕元寶區",3,2,,0,19820101,19831231,"Did not officially exist"
210602,"GB","Dandong: Yuanbao qu","Dandong: Yuanbao qu","丹東﹕元寶區",3,2,,0,19840101,19941231,
210603,"CT","Dandong: Zhenxing qu","Dandong: Zhenxing qu","丹東﹕振興區",3,2,,0,19820101,19831231,"Did not officially exist"
210603,"GB","Dandong: Zhenxing qu","Dandong: Zhenxing qu","丹東﹕振興區",3,2,,0,19840101,19941231,
210604,"CT","Dandong: Zhen`an qu","Dandong: Zhen`an qu","丹東﹕振安區",3,2,,0,19820101,19831231,"Did not officially exist"
210604,"GB","Dandong: Zhen`an qu","Dandong: Zhen`an qu","丹東﹕振安區",3,2,,0,19840101,19941231,
210620,"GB","Dandong shiqu","Dandong shiqu","丹東市區",3,1,,0,19820101,19831231,
210621,"GB","Fengcheng Manzu zizhixian","Fengcheng Manzu zizhixian","鳳城滿族自治縣",3,6,"A",0,19850117,19940307,
210621,"GB","Fengcheng","Fengcheng","鳳城",3,5,,0,19820101,19850116,
210622,"GB","Xiuyan","Xiuyan","岫岩",3,5,,0,19820101,19850116,
210622,"GB","Xiuyan Manzu zizhixian","Xiuyan Manzu zizhixian","岫岩滿族自治縣",3,6,"A",0,19850117,19920122,
210623,"GB","Donggou","Donggou","東溝",3,5,,0,19820101,19930617,
210624,"GB","Kuandian Manzu zizhixian","Kuandian Manzu zizhixian","寬甸滿族自治縣",3,6,"A",0,19890907,19941231,
210624,"GB","Kuandian","Kuandian","寬甸",3,5,,0,19820101,19890906,
210681,"GB","Donggang shi","Donggang shi","東港市",9,3,"CHNA",0,19930618,19941231,
210682,"CM","Fengcheng shi","Fengcheng shi","鳳城市",9,3,"CHA",0,19940308,19941231,
210700,"GB","Jinzhou shi","Jinzhou shi","錦州市",0,0,"T",3,19890612,19941231,
210700,"GB","Jinzhou shi","Jinzhou shi","錦州市",0,0,,3,19820101,19890611,
210701,"GB","Jinzhou shixiaqu","Jinzhou shixiaqu","錦州市轄區",3,1,"C",0,19840101,19890611,
210701,"GB","Jinzhou shixiaqu","Jinzhou shixiaqu","錦州市轄區",3,1,"T",0,19890612,19941231,
210702,"CT","Jinzhou: Guta qu","Jinzhou: Guta qu","錦州﹕古塔區",3,2,,0,19820101,19831231,"Did not officially exist"
210702,"GB","Jinzhou: Guta qu","Jinzhou: Guta qu","錦州﹕古塔區",3,2,,0,19840101,19941231,
210703,"CT","Jinzhou: Linghe qu","Jinzhou: Linghe qu","錦州﹕凌河區",3,2,,0,19820101,19831231,"Did not officially exist"
210703,"GB","Jinzhou: Linghe qu","Jinzhou: Linghe qu","錦州﹕凌河區",3,2,,0,19840101,19941231,
210704,"CT","Jinzhou: Nanpiao qu","Jinzhou: Nanpiao qu","錦州﹕南票區",3,2,,0,19820101,19831231,"Did not officially exist"
210704,"GB","Jinzhou: Nanpiao qu","Jinzhou: Nanpiao qu","錦州﹕南票區",3,2,,0,19840101,19890611,
210705,"CT","Jinzhou: Huludao qu","Jinzhou: Huludao qu","錦州﹕葫蘆島區",3,2,,0,19820101,19831231,"Did not officially exist"
210705,"GB","Jinzhou: Huludao qu","Jinzhou: Huludao qu","錦州﹕葫蘆島區",3,2,,0,19840101,19890611,
210711,"CT","Jinzhou: Taihe qu","Jinzhou: Taihe qu","錦州﹕太和區",3,2,,0,19820101,19831231,"Did not officially exist"
210711,"GB","Jinzhou: Taihe qu","Jinzhou: Taihe qu","錦州﹕太和區",3,2,,0,19840101,19941231,
210719,"GB","Jinxi shi","Jinxi shi","錦西市",9,3,"CHA",9,19850117,19871231,
210720,"GB","Jinzhou shiqu","Jinzhou shiqu","錦州市區",3,1,,0,19820101,19831231,
210721,"GB","Jinxi","Jinxi","錦西",3,5,,0,19820101,19850116,
210722,"GB","Xingcheng","Xingcheng","興城",3,5,,0,19820101,19861212,
210723,"GB","Suizhong","Suizhong","綏中",3,5,,0,19820101,19890611,
210724,"GB","Jin xian","Jin xian","錦縣",3,5,,0,19820101,19931115,
210725,"GB","Beizhen Manzu zizhixian","Beizhen Manzu zizhixian","北鎮滿族自治縣",3,6,"A",0,19890629,19941231,
210725,"GB","Beizhen","Beizhen","北鎮",3,5,,0,19820101,19890628,
210726,"GB","Heishan","Heishan","黑山",3,5,,0,19820101,19941231,
210727,"GB","Yi xian","Yi xian","義縣",3,5,,0,19820101,19941231,
210781,"GB","Linghai shi","Linghai shi","凌海市",9,3,"CHNA",0,19931116,19941231,
210800,"GB","Yingkou shi","Yingkou shi","營口市",0,0,,3,19820101,19941231,
210801,"GB","Yingkou shixiaqu","Yingkou shixiaqu","營口市轄區",3,1,"C",0,19840101,19941231,
210802,"CT","Yingkou: Zhanqian qu","Yingkou: Zhanqian qu","營口﹕站前區",3,2,,0,19820101,19831231,"Did not officially exist"
210802,"GB","Yingkou: Zhanqian qu","Yingkou: Zhanqian qu","營口﹕站前區",3,2,,0,19840101,19941231,
210803,"CT","Yingkou: Xishi qu","Yingkou: Xishi qu","營口﹕西市區",3,2,,0,19820101,19831231,"Did not officially exist"
210803,"GB","Yingkou: Xishi qu","Yingkou: Xishi qu","營口﹕西市區",3,2,,0,19840101,19941231,
210804,"GB","Yingkou: Bayuquan qu","Yingkou: Bayuquan qu","營口﹕     魚圈區",3,2,"C",0,19860101,19941231,
210811,"CT","Yingkou: Jiaoqu","Yingkou: Jiaoqu","營口﹕郊區",3,2,,0,19820101,19831231,"Did not officially exist"
210811,"GB","Yingkou: Laobian qu","Yingkou: Laobian qu","營口﹕老邊區",3,2,"N",0,19850101,19941231,
210811,"GB","Yingkou: Jiaoqu","Yingkou: Jiaoqu","營口﹕郊區",3,2,,0,19840101,19841231,
210812,"CT","Yingkou: Bayuquan qu","Yingkou: Bayuquan qu","營口﹕     魚圈區",3,2,,0,19820101,19831231,"Did not officially exist"
210812,"GB","Yingkou: Bayuquan qu","Yingkou: Bayuquan qu","營口﹕     魚圈區",3,2,,0,19840101,19851231,
210820,"GB","Yingkou shiqu","Yingkou shiqu","營口市區",3,1,,0,19820101,19831231,
210821,"GB","Yingkou","Yingkou","營口",3,5,,0,19820101,19921102,
210822,"GB","Panshan","Panshan","盤山",3,5,,0,19820101,19840604,
210823,"GB","Dawa","Dawa","大窪",3,5,,0,19820101,19840604,
210824,"GB","Gai xian","Gai xian","蓋縣",3,5,,0,19820101,19921102,
210881,"GB","Gaizhou shi","Gaizhou shi","蓋州市",9,3,"CNHA",0,19921103,19941231,
210882,"GB","Dashiqiao shi","Dashiqiao shi","大石橋市",9,3,"CNHA",0,19921103,19941231,
210900,"GB","Fuxin shi","Fuxin shi","阜新市",0,0,,3,19820101,19941231,
210901,"CT","Fuxin shixiaqu","Fuxin shixiaqu","阜新市轄區",3,1,"C",0,19820101,19831231,"Did not officially exist"
210901,"GB","Fuxin shixiaqu","Fuxin shixiaqu","阜新市轄區",3,1,"C",0,19840101,19941231,
210902,"CT","Fuxin: Haizhou qu","Fuxin: Haizhou qu","阜新﹕海州區",3,2,,0,19820101,19831231,"Did not officially exist"
210902,"GB","Fuxin: Haizhou qu","Fuxin: Haizhou qu","阜新﹕海州區",3,2,,0,19840101,19941231,
210903,"CT","Fuxin: Xinqiu qu","Fuxin: Xinqiu qu","阜新﹕新丘區",3,2,,0,19820101,19831231,"Did not officially exist"
210903,"GB","Fuxin: Xinqiu qu","Fuxin: Xinqiu qu","阜新﹕新丘區",3,2,,0,19840101,19941231,
210904,"CT","Fuxin: Taiping qu","Fuxin: Taiping qu","阜新﹕太平區",3,2,,0,19820101,19831231,"Did not officially exist"
210904,"GB","Fuxin: Taiping qu","Fuxin: Taiping qu","阜新﹕太平區",3,2,,0,19840101,19941231,
210905,"CT","Fuxin: Qinghemen qu","Fuxin: Qinghemen qu","阜新﹕清河門區",3,2,,0,19820101,19831231,"Did not officially exist"
210905,"GB","Fuxin: Qinghemen qu","Fuxin: Qinghemen qu","阜新﹕清河門區",3,2,,0,19840101,19941231,
210911,"CT","Fuxin: Jiaoqu","Fuxin: Jiaoqu","阜新﹕郊區",3,2,,0,19820101,19831231,"Did not officially exist"
210911,"GB","Fuxin: Xihe qu","Fuxin: Xihe qu","阜新﹕細河區",3,2,"N",0,19850101,19941231,
210911,"GB","Fuxin: Jiaoqu","Fuxin: Jiaoqu","阜新﹕郊區",3,2,,0,19840101,19841231,
210920,"GB","Fuxin shiqu","Fuxin shiqu","阜新市區",3,1,,0,19820101,19831231,
210921,"GB","Fuxin Mongolzu zizhixian","Fuxin Mongolzu zizhixian","阜新蒙古族自治縣",3,6,,0,19820101,19941231,
210922,"GB","Zhangwu","Zhangwu","彰武",3,5,,0,19820101,19941231,
211000,"GB","Liaoyang shi","Liaoyang shi","遼陽市",0,0,,3,19820101,19941231,
211001,"CT","Liaoyang shixiaqu","Liaoyang shixiaqu","遼陽市轄區",3,1,"C",0,19820101,19831231,"Did not officially exist"
211001,"GB","Liaoyang shixiaqu","Liaoyang shixiaqu","遼陽市轄區",3,1,"C",0,19840101,19941231,
211002,"CT","Liaoyang: Baita qu","Liaoyang: Baita qu","遼陽﹕白塔區",3,2,,0,19820101,19831231,"Did not officially exist"
211002,"GB","Liaoyang: Baita qu","Liaoyang: Baita qu","遼陽﹕白塔區",3,2,,0,19840101,19941231,
211003,"CT","Liaoyang: Wensheng qu","Liaoyang: Wensheng qu","遼陽﹕文聖區",3,2,,0,19820101,19831231,"Did not officially exist"
211003,"GB","Liaoyang: Wensheng qu","Liaoyang: Wensheng qu","遼陽﹕文聖區",3,2,,0,19840101,19941231,
211004,"CT","Liaoyang: Hongwei qu","Liaoyang: Hongwei qu","遼陽﹕宏偉區",3,2,,0,19820101,19831231,"Did not officially exist"
211004,"GB","Liaoyang: Hongwei qu","Liaoyang: Hongwei qu","遼陽﹕宏偉區",3,2,,0,19840101,19941231,
211005,"GB","Liaoyang: Gongchangling qu","Liaoyang: Gongchangling qu","遼陽﹕弓長嶺區",3,2,,0,19840101,19941231,
211011,"CT","Liaoyang: Jiaoqu","Liaoyang: Jiaoqu","遼陽﹕郊區",3,2,,0,19820101,19831231,"Did not officially exist"
211011,"GB","Liaoyang: Taizihe qu","Liaoyang: Taizihe qu","遼陽﹕太子河區",3,2,"N",0,19850101,19941231,
211011,"GB","Liaoyang: Jiaoqu","Liaoyang: Jiaoqu","遼陽﹕郊區",3,2,,0,19840101,19841231,
211020,"GB","Liaoyang shiqu","Liaoyang shiqu","遼陽市區",3,1,,0,19820101,19831231,
211021,"GB","Liaoyang","Liaoyang","遼陽",3,5,,0,19820101,19941231,
211022,"GB","Dengta","Dengta","燈塔",3,5,,0,19820101,19941231,
211100,"GB","Panjin shi","Panjin shi","盤錦市",0,0,"CNHA",3,19840605,19941231,
211101,"GB","Panjin shixiaqu","Panjin shixiaqu","盤錦市轄區",3,1,"T",0,19861105,19941231,
211101,"GB","Panjin shixiaqu","Panjin shixiaqu","盤錦市轄區",3,1,,0,19840605,19861104,
211102,"GB","Panjin: Panshan qu","Panjin: Panshan qu","盤錦﹕盤山區",3,2,,0,19840605,19861104,
211102,"GB","Panjin: Shuangtaizi qu","Panjin: Shuangtaizi qu","盤錦﹕雙台子區",3,2,"N",0,19861105,19941231,
211103,"GB","Panjin: Xinglongtai qu","Panjin: Xinglongtai qu","盤錦﹕興隆台區",3,2,,0,19840605,19941231,
211111,"GB","Panjin: Jiaoqu","Panjin: Jiaoqu","盤錦﹕郊區",3,2,,0,19840605,19861104,
211121,"GB","Dawa","Dawa","大窪",3,5,"CH",0,19840605,19941231,
211122,"GB","Panshan","Panshan","盤山",3,5,"CNA",0,19861105,19941231,
211200,"GB","Tieling shi","Tieling shi","鐵嶺市",0,0,"CHAT",3,19840630,19921211,
211200,"GB","Tieling shi","Tieling shi","鐵嶺市",0,0,"T",3,19921212,19941231,
211201,"GB","Tieling shixiaqu","Tieling shixiaqu","鐵嶺市轄區",3,1,,0,19840630,19860911,
211201,"GB","Tieling shixiaqu","Tieling shixiaqu","鐵嶺市轄區",3,1,"T",0,19860912,19941231,
211202,"GB","Tieling: Yinzhou qu","Tieling: Yinzhou qu","鐵嶺﹕銀州區",3,2,,0,19840630,19941231,
211203,"GB","Tieling: Tiefa qu","Tieling: Tiefa qu","鐵嶺﹕鐵法區",3,2,"CHA",0,19840630,19860911,
211204,"GB","Tieling: Qinghe qu","Tieling: Qinghe qu","鐵嶺﹕清河區",3,2,,0,19840630,19941231,
211221,"GB","Tieling","Tieling","鐵嶺",3,5,"CH",0,19840630,19941231,
211222,"GB","Kaiyuan","Kaiyuan","開原",3,5,"CH",0,19840630,19881226,
211223,"GB","Xifeng","Xifeng","西豐",3,5,"CH",0,19840630,19941231,
211224,"GB","Changtu","Changtu","昌圖",3,5,"CH",0,19840630,19941231,
211225,"GB","Kangping","Kangping","康平",3,5,"CH",0,19840630,19921211,
211226,"GB","Faku","Faku","法庫",3,5,"CH",0,19840630,19921211,
211281,"GB","Tiefa shi","Tiefa shi","鐵法市",9,3,"C",0,19910101,19941231,
211282,"GB","Kaiyuan shi","Kaiyuan shi","開原市",9,3,"C",0,19910101,19941231,
211300,"GB","Chaoyang shi","Chaoyang shi","朝陽市",0,0,"T",3,19890612,19941231,
211300,"GB","Chaoyang shi","Chaoyang shi","朝陽市",0,0,"CHAT",3,19840630,19890611,
211301,"GB","Chaoyang shixiaqu","Chaoyang shixiaqu","朝陽市轄區",3,1,,0,19840630,19941231,
211302,"GB","Chaoyang: Shuangta qu","Chaoyang: Shuangta qu","朝陽﹕雙塔區",3,2,,0,19840630,19941231,
211303,"GB","Chaoyang: Longcheng qu","Chaoyang: Longcheng qu","朝陽﹕龍城區",3,2,,0,19840630,19941231,
211319,"GB","Beipiao shi","Beipiao shi","北票市",9,3,"CHA",9,19850117,19871231,
211321,"GB","Chaoyang","Chaoyang","朝陽",3,5,"CH",0,19840630,19941231,
211322,"GB","Jianping","Jianping","建平",3,5,"CH",0,19840630,19941231,
211323,"GB","Lingyuan","Lingyuan","凌源",3,5,"CH",0,19840630,19911220,
211324,"GB","Kalaqin zuoyi Mongolzu zizhixian","Kalaqin zuoyi Mongolzu zizhixian","喀喇沁左翼蒙古族自治縣",3,6,"CH",0,19840630,19941231,
211325,"GB","Jianchang","Jianchang","建昌",3,5,"CH",0,19840630,19890611,
211326,"GB","Beipiao","Beipiao","北票",3,5,"CH",0,19840630,19850116,
211381,"GB","Beipiao shi","Beipiao shi","北票市",9,3,"C",0,19910101,19941231,
211382,"GB","Lingyuan shi","Lingyuan shi","凌源市",9,3,"CHA",0,19911221,19941231,
211400,"GB","Jinxi shi","Jinxi shi","錦西市",0,0,"CAT",3,19890612,19940919,
211400,"GB","Huludao shi","Huludao shi","葫 蘆島市",0,0,"N",3,19940920,19941231,
211401,"GB","Jinxi shixiaqu","Jinxi shixiaqu","錦西市轄區",3,1,,0,19890612,19941231,
211402,"GB","Jinxi: Lianshan qu","Jinxi: Lianshan qu","錦西﹕連山區",3,2,,0,19890612,19941231,
211403,"GB","Jinxi: Longgang qu","Jinxi: Longgang qu","錦西﹕龍港區",3,2,"N",0,19940920,19941231,
211403,"GB","Jinxi: Huludao qu","Jinxi: Huludao qu","錦西﹕葫 蘆島區",3,2,"CH",0,19890612,19940919,
211404,"GB","Jinxi: Nanpiao qu","Jinxi: Nanpiao qu","錦西﹕南票區",3,2,"CH",0,19890612,19941231,
211421,"GB","Suizhong","Suizhong","綏中",3,5,"CH",0,19890612,19941231,
211422,"GB","Jianchang","Jianchang","建昌",3,5,"CH",0,19890612,19941231,
211481,"GB","Xingcheng shi","Xingcheng shi","興城市",9,3,"C",0,19910101,19941231,
212100,"GB","Tieling diqu","Tieling diqu","鐵嶺地區",0,0,,6,19820101,19840629,
212101,"GB","Tieling shi","Tieling shi","鐵嶺市",6,3,,0,19820101,19840629,
212102,"GB","Tiefa shi","Tiefa shi","鐵法市",6,3,,0,19820101,19840629,
212121,"GB","Tieling","Tieling","鐵嶺",6,5,,0,19820101,19840629,
212122,"GB","Kaiyuan","Kaiyuan","開原",6,5,,0,19820101,19840629,
212123,"GB","Xifeng","Xifeng","西豐",6,5,,0,19820101,19840629,
212124,"GB","Changtu","Changtu","昌圖",6,5,,0,19820101,19840629,
212125,"GB","Kangping","Kangping","康平",6,5,,0,19820101,19840629,
212126,"GB","Faku","Faku","法庫",6,5,,0,19820101,19840629,
212200,"GB","Chaoyang diqu","Chaoyang diqu","朝陽地區",0,0,,6,19820101,19840629,
212201,"GB","Chaoyang shi","Chaoyang shi","朝陽市",6,3,,0,19820101,19840629,
212221,"GB","Chaoyang","Chaoyang","朝陽",6,5,,0,19820101,19840629,
212222,"GB","Jianping","Jianping","建平",6,5,,0,19820101,19840629,
212223,"GB","Lingyuan","Lingyuan","凌源",6,5,,0,19820101,19840629,
212224,"GB","Kalaqin zuoyi Mongolzu zizhixian","Kalaqin zuoyi Mongolzu zizhixian","喀喇沁左翼蒙古族自治縣",6,6,,0,19820101,19840629,
212225,"GB","Jianchang","Jianchang","建昌",6,5,,0,19820101,19840629,
212226,"GB","Beipiao","Beipiao","北票",6,5,,0,19820101,19840629,
219001,"GB","Wafangdian shi","Wafangdian shi","瓦房店市",9,3,"C",9,19880101,19901231,
219002,"GB","Haicheng shi","Haicheng shi","海城市",9,3,"C",9,19880101,19901231,
219003,"GB","Jinxi shi","Jinxi shi","錦西市",9,3,"C",9,19880101,19890611,
219004,"GB","Xingcheng shi","Xingcheng shi","興城市",9,3,"CHA",9,19861213,19901231,
219005,"GB","Tiefa shi","Tiefa shi","鐵法市",9,3,"CHA",9,19860912,19901231,
219006,"GB","Beipiao shi","Beipiao shi","北票市",9,3,"C",9,19880101,19901231,
219007,"GB","Kaiyuan shi","Kaiyuan shi","開原市",9,3,"CHA",9,19881227,19901231,
220100,"GB","Changchun shi","Changchun shi","長春市",0,0,,2,19820101,19820801,
220100,"GB","Changchun shi","Changchun shi","長春市",0,0,"T",2,19820802,19830829,
220100,"GB","Changchun shi","Changchun shi","長春市",0,0,"T",2,19830830,19941231,
220101,"GB","Changchun shixiaqu","Changchun shixiaqu","長春市轄區",2,1,"C",0,19840101,19941231,
220102,"CT","Changchun: Nanguang qu","Changchun: Nanguang qu","長春﹕南關區",2,2,,0,19820101,19831231,"Did not officially exist"
220102,"GB","Changchun: Nanguang qu","Changchun: Nanguang qu","長春﹕南關區",2,2,,0,19840101,19941231,"? 19820801-19830829  H=4"
220103,"CT","Changchun: Kuancheng qu","Changchun: Kuancheng qu","長春﹕寬城區",2,2,,0,19820101,19831231,"Did not officially exist"
220103,"GB","Changchun: Kuancheng qu","Changchun: Kuancheng qu","長春﹕寬城區",2,2,,0,19840101,19941231,
220104,"CT","Changchun: Chaoyang qu","Changchun: Chaoyang qu","長春﹕朝陽區",2,2,,0,19820101,19831231,"Did not officially exist"
220104,"GB","Changchun: Chaoyang qu","Changchun: Chaoyang qu","長春﹕朝陽區",2,2,,0,19840101,19941231,
220105,"CT","Changchun: Erdaohezi qu","Changchun: Erdaohezi qu","長春﹕二道河子區",2,2,,0,19820101,19831231,"Did not officially exist"
220105,"GB","Changchun: Erdaohezi qu","Changchun: Erdaohezi qu","長春﹕二道河子區",2,2,,0,19840101,19941231,
