"C-gbcode","C-source","N-pinyin","N-local","N-hanzi","H","A","change","P","fromdate","todate","NOTES"
130103,"GB","Shijiazhuang: Qiaodong qu","Shijiazhuang: Qiaodong qu","石家莊﹕橋東區",2,2,,0,19831115,19941231,"H?"
130104,"GB","Shijiazhuang: Qiaoxi qu","Shijiazhuang: Qiaoxi qu","石家莊﹕橋西區",4,2,,0,19820101,19831114,"Did not officially exist"
130104,"GB","Shijiazhuang: Qiaoxi qu","Shijiazhuang: Qiaoxi qu","石家莊﹕橋西區",2,2,,0,19831115,19941231,"H?"
130105,"GB","Shijiazhuang: Xinhua qu","Shijiazhuang: Xinhua qu","石家莊﹕新華區",4,2,,0,19820101,19831114,"Did not officially exist"
130105,"GB","Shijiazhuang: Xinhua qu","Shijiazhuang: Xinhua qu","石家莊﹕新華區",2,2,,0,19831115,19941231,"H?"
130106,"GB","Shijiazhuang: Jiaoqu","Shijiazhuang: Jiaoqu","石家莊﹕郊區",4,2,,0,19820101,19831114,"Did not officially exist"
130106,"GB","Shijiazhuang: Jiaoqu","Shijiazhuang: Jiaoqu","石家莊﹕郊區",2,2,,0,19831115,19941231,"H?"
130107,"GB","Shijiazhuang: Jingxing Kuangqu","Shijiazhuang: Jingxing Kuangqu","石家莊﹕井陘礦區",2,2,,0,19831115,19891207,"H?"
130107,"GB","Shijiazhuang: Jingxing Kuangqu","Shijiazhuang: Jingxing Kuangqu","石家莊﹕井陘礦區",2,2,,0,19920530,19941231,
130107,"GB","Shijiazhuang: Jingxing Kuangqu","Shijiazhuang: Jingxing Kuangqu","石家莊﹕井陘礦區",4,2,,0,19820101,19831114,"Did not officially exist"
130121,"GB","Jingxing","Jingxing","井陘",2,5,"CH",0,19831115,19891207,
130121,"GB","Jingxing","Jingxing","井陘",2,5,"T",0,19891208,19920529,
130121,"GB","Jingxing","Jingxing","井陘",2,5,"T",0,19920530,19941231,
130122,"GB","Huolu","Huolu","獲鹿",2,5,"CH",0,19831115,19940517,
130123,"GB","Zhengding","Zhengding","正定",2,5,"CH",0,19861202,19941231,
130124,"GB","Luancheng","Luancheng","欒城",2,5,"CH",0,19861202,19941231,
130125,"GB","Xingtang","Xingtang","行唐",2,5,"CH",0,19930619,19941231,
130126,"GB","Lingshou","Lingshou","靈壽",2,5,"CH",0,19930619,19941231,
130127,"GB","Gaoyi","Gaoyi","高邑",2,5,"CH",0,19930619,19941231,
130128,"GB","Shenze","Shenze","深澤",2,5,"CH",0,19930619,19941231,
130129,"GB","Zanhuang","Zanhuang","贊皇",2,5,"CH",0,19930619,19941231,
130130,"GB","Wuji","Wuji","無極",2,5,"CH",0,19930619,19941231,
130131,"GB","Pingshan","Pingshan","平山",2,5,"CH",0,19930619,19941231,
130132,"GB","Yuanshi","Yuanshi","元氏",2,5,"CH",0,19930619,19941231,
130133,"GB","Zhao xian","Zhao xian","趙縣",2,5,"CH",0,19930619,19941231,
130181,"GB","Xinji shi","Xinji shi","辛集市",9,3,"CH",0,19930619,19941231,
130182,"GB","Gaocheng shi","Gaocheng shi","槁城市",9,3,"CH",0,19930619,19941231,
130183,"GB","Jinzhou shi","Jinzhou shi","晉州市",9,3,"CH",0,19930619,19941231,
130184,"GB","Xinle shi","Xinle shi","新樂市",9,3,"CH",0,19930619,19941231,
130185,"CM","Luquan shi","Luquan shi","鹿泉市",9,3,"CHNA",0,19940518,19941231,
130200,"GB","Tangshan shi","Tangshan shi","唐山市",0,0,"T",3,19830303,19941231,"H?"
130200,"GB","Tangshan shi","Tangshan shi","唐山市",0,0,,5,19820101,19830302,
130201,"GB","Tangshan shixiaqu","Tangshan shixiaqu","唐山市轄區",5,1,,0,19820101,19830302,"Did not officially exist"
130201,"GB","Tangshan shixiaqu","Tangshan shixiaqu","唐山市轄區",3,1,,0,19830303,19941231,"H?"
130202,"GB","Tangshan: Lunan qu","Tangshan: Lunan qu","唐山﹕路南區",3,2,,0,19830303,19941231,"H?"
130202,"GB","Tangshan: Lunan qu","Tangshan: Lunan qu","唐山﹕路南區",5,2,,0,19820101,19830302,"Did not officially exist"
130203,"GB","Tangshan: Lubei qu","Tangshan: Lubei qu","唐山﹕路北區",3,2,,0,19830303,19941231,"H?"
130203,"GB","Tangshan: Lubei qu","Tangshan: Lubei qu","唐山﹕路北區",5,2,,0,19820101,19830302,"Did not officially exist"
130204,"GB","Tangshan: Dongkuang qu","Tangshan: Dongkuang qu","唐山﹕東礦區",3,2,,0,19830303,19941231,"H?"
130204,"GB","Tangshan: Dongkuang qu","Tangshan: Dongkuang qu","唐山﹕東礦區",5,2,,0,19820101,19830302,"Did not officially exist"
130205,"GB","Tangshan: Kaiping qu","Tangshan: Kaiping qu","唐山﹕開平區",3,2,,0,19830303,19941231,"H?"
130205,"GB","Tangshan: Kaiping qu","Tangshan: Kaiping qu","唐山﹕開平區",5,2,,0,19820101,19830302,"Did not officially exist"
130206,"GB","Tangshan: Xin qu","Tangshan: Xin qu","唐山﹕新區",3,2,,0,19830303,19941231,"H?"
130206,"GB","Tangshan: Xin qu","Tangshan: Xin qu","唐山﹕新區",5,2,,0,19820101,19830302,"Did not officially exist"
130221,"GB","Fengrun","Fengrun","豐潤",3,5,"CH",0,19830303,19941231,
130222,"GB","Fengnan","Fengnan","豐南",3,5,"CH",0,19830303,19940404,
130223,"GB","Luan xian","Luan xian","灤縣",3,5,"CH",0,19830303,19941231,
130224,"GB","Luannan","Luannan","灤南",3,5,"CH",0,19830303,19941231,
130225,"GB","Leting","Leting","樂亭",3,5,"CH",0,19830303,19941231,
130226,"GB","Qian`an","Qian`an","遷安",3,5,"CH",0,19830303,19941231,
130227,"GB","Qianxi","Qianxi","遷西",3,5,"CH",0,19830303,19941231,
130228,"GB","Zunhua","Zunhua","遵化",3,5,"CH",0,19830303,19920216,
130229,"GB","Yutian","Yutian","玉田",3,5,"CH",0,19830303,19941231,
130230,"GB","Tanghai","Tanghai","唐海",3,5,"CH",0,19820922,19941231,
130281,"GB","Zunhua shi","Zunhua shi","遵化市",9,3,"CHA",0,19920217,19941231,
130282,"CM","Fengnan shi","Fengnan shi","豐南市",9,3,"CHA",0,19940405,19941231,
130300,"GB","Qinhuangdao shi","Qinhuangdao shi","秦皇島市",0,0,"T",3,19830505,19941231,
130300,"GB","Qinhuangdao shi","Qinhuangdao shi","秦皇島市",0,0,"CHAT",3,19830303,19830504,
130301,"GB","Qinhuangdao shixiaqu","Qinhuangdao shixiaqu","秦皇島市轄區",3,1,,0,19830303,19941231,
130302,"GB","Qinhuangdao: Haigang qu","Qinhuangdao: Haigang qu","秦皇島﹕海港區",3,2,,0,19830303,19941231,
130303,"GB","Qinhuangdao: Shanhaiguan qu","Qinhuangdao: Shanhaiguan qu","秦皇島﹕山海關區",3,2,,0,19830303,19941231,
130304,"GB","Qinhuangdao: Beidaihe qu","Qinhuangdao: Beidaihe qu","秦皇島﹕北戴河區",3,2,,0,19830303,19941231,
130305,"GB","Qinhuangdao: Jiaoqu","Qinhuangdao: Jiaoqu","秦皇島﹕郊區",3,2,,0,19830303,19861231,
130321,"GB","Qinglong Manzu zizhixian","Qinglong Manzu zizhixian","青龍滿族自治縣",3,6,"A",0,19861202,19941231,
130321,"GB","Qinglong","Qinglong","青龍",3,5,"CH",0,19830505,19861201,
130322,"GB","Changli","Changli","昌黎",3,5,"CH",0,19830303,19941231,
130323,"GB","Funing","Funing","撫寧",3,5,"CH",0,19830303,19941231,
130324,"GB","Lulong","Lulong","盧龍",3,5,"CH",0,19830303,19941231,
130400,"GB","Handan shi","Handan shi","邯鄲市",0,0,"CHAT",3,19831115,19860404,
130400,"GB","Handan shi","Handan shi","邯鄲市",0,0,"T",3,19860405,19930618,
130400,"GB","Handan shi","Handan shi","邯鄲市",0,0,"T",3,19930619,19941231,
130401,"GB","Handan shixiaqu","Handan shixiaqu","邯鄲市轄區",3,1,,0,19831115,19941231,
130402,"GB","Handan: Hanshan qu","Handan: Hanshan qu","邯鄲﹕邯山區",3,2,,0,19831115,19941231,
130403,"GB","Handan: Congtai qu","Handan: Congtai qu","邯鄲﹕從台區",3,2,,0,19831115,19941231,
130404,"GB","Handan: Fuxing qu","Handan: Fuxing qu","邯鄲﹕復興區",3,2,,0,19831115,19941231,
130405,"GB","Handan: Jiaoqu","Handan: Jiaoqu","邯鄲﹕郊區",3,2,,0,19831115,19861202,
130406,"GB","Handan: Fengfeng Kuangqu","Handan: Fengfeng Kuangqu","邯鄲﹕峰峰礦區",3,2,,0,19831115,19941231,
130421,"GB","Handan","Handan","邯鄲",3,5,"CH",0,19831115,19941231,
130422,"GB","Wu`an","Wu`an","武安",3,5,"CH",0,19861202,19880831,
130423,"GB","Linzhang","Linzhang","臨漳",3,5,"CH",0,19930619,19941231,
130424,"GB","Cheng`an","Cheng`an","成安",3,5,"CH",0,19930619,19941231,
130425,"GB","Daming","Daming","大名",3,5,"CH",0,19930619,19941231,
130426,"GB","She xian","She xian","涉縣",3,5,"CH",0,19930619,19941231,
130427,"GB","Ci xian","Ci xian","磁縣",3,5,"CH",0,19930619,19941231,
130428,"GB","Feixiang","Feixiang","肥鄉",3,5,"CH",0,19930619,19941231,
130429,"GB","Yongnian","Yongnian","永年",3,5,"CH",0,19930619,19941231,
130430,"GB","Qiu xian","Qiu xian","丘縣",3,5,"CH",0,19930619,19941231,
130431,"GB","Jize","Jize","雞澤",3,5,"CH",0,19930619,19941231,
130432,"GB","Guangping","Guangping","廣平",3,5,"CH",0,19930619,19941231,
130433,"GB","Guantao","Guantao","館陶",3,5,"CH",0,19930619,19941231,
130434,"GB","Wei xian","Wei xian","魏縣",3,5,"CH",0,19930619,19941231,
130435,"GB","Quzhou","Quzhou","曲周",3,5,"CH",0,19930619,19941231,
130481,"GB","Wu`an shi","Wu`an shi","武安市",9,3,"C",0,19910101,19941231,
130500,"GB","Xingtai shi","Xingtai shi","邢台市",0,0,"T",3,19930619,19941231,
